distribution,pga_g,comparable_scale
local_P695_scaled_analysis_all_sets,0.33197499999999996,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,1.7892825,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.314333,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.199185,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.512019,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.249848925,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,1.08725725,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.07415042,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.24740331,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.55214225,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.1455162,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.08381894000000001,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.1887125,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.5316369750000001,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.7311632,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.347416625,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.28785014999999997,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.05685716,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.2833526,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.16602319999999998,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.07548500000000001,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.30995685,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.5238683749999999,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,1.4103875,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,1.0989084,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.225662,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.6479742500000001,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.10510219999999999,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,1.14173505,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.08079842000000001,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.570867525,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.8233905000000001,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.90947625,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.570867525,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.5456857500000001,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.4242375,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.25641196,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.21973777500000002,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.1764435,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.7685150000000001,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.1018676,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.49969785,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.7541235,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.2082095,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.44072349999999993,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.11753090999999999,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.2066379,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.12806085,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.18189525,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,1.156699,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.4132758,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.05293305,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.223163,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.1286405,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.2066379,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.2078915,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.3637905,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.15740125,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.248097255,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.05269935,scaled analysis input PGA
